text;context;verse;predicate;form;lexeme;PoS;head;anim;semantics;number;role;case;marker;allomorph;postp;trajector;motion;dialect;area;year;period
Lç;""" Eta ilkhirik spiritu satsuak sar zitezen urdetara, eta oldar zedin urdaldea gainetik behera itsasora""";Mk 5,13;oldartu;itsasora;itsaso;noun;itsaso;inanim;area;SG;Goal;allative;–ra;;;substance;real;L;E;1571;Archaic
Lç;"""Baina berze diszipulu hura aitzin zekión Pierrisi, eta lehen ethor zedin <monumentera>.""";Jn 20,4;etorri;monumentera;monumentu;noun;monumentu;inanim;building;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Dakialarik Jesusek gauza guzia eman drauzkala hari Aitak <eskuetara>""";Jn 13,3;eman;eskuetara;esku;noun;esku;inanim;body-part;PL;Goal;allative;–ra;;;abstract;metaphoric;L;E;1571;Archaic
Lç;"""iraitziren dirate <maledikzionetara>""";Intro;eraitsi;maledikzionetara;madarikazio;noun;madarikazio;inanim;abstract;indet;Goal;allative;–ra;;;human;metaphoric;L;E;1571;Archaic
Lç;"""libraturen zaituzte <konsistorioetara>, eta bere sinagogetan azotaturen zaituzte.""";Mt 10,17;libratu;konsistorioetara;konsistorio;noun;konsistorio;inanim;institution;PL;Recipient;allative;–ra;;;human;metaphoric;L;E;1571;Archaic
Lç;""" igorri izan nauk hirekin <minzatzera>""";Lk Archaic,19;igorri;mintzatzera;mintzatu;nmlz;mintzatu;inanim;;SG;Purpose;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Eta ethor zitezen <etxera>""";Mk 3,20;etorri;etxera;etxe;noun;etxe;inanim;building;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Zoazte <zuen aurkhako burgura>""";Mt 21,2;joan;burgura;burgo;noun;burgo;inanim;settlement;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""egotz zezan bere burua <itsasora>.""";Jn 21,7;egotzi;itsasora;itsaso;noun;itsaso;inanim;area;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""hurbildu zenean <Betfajera> eta Betaniara, Olibatzetako deitzen den mendi aldera""";Lk 19,29;hurbildu;betfajera;betfaje;toponym;betfaje;inanim;settlement;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Zoazte <zuen aurkhako burgura>""";Lk 19,30;joan;burgura;burgo;noun;burgo;inanim;settlement;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""hurbildu zenean Betfajera eta <Betaniara>, Olibatzetako deitzen den mendi aldera""";Lk 19,29;hurbildu;betaniara;betania;toponym;betania;inanim;settlement;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""hurbildu zenean Betfajera eta Betaniara, Olibatzetako deitzen den <mendi aldera>""";Lk 19,29;hurbildu;aldera;alde;postp;mendi;inanim;area;SG;Goal;allative;–ra;;Ø_alde;human;real;L;E;1571;Archaic
Lç;"""Zoazte zuek ere <ene mahastira>""";Mt 20,4;joan;mahastira;mahasti;noun;mahasti;inanim;area;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Zoazte zuek ere <ene mahastira>""";Mt 20,7;joan;mahastira;mahasti;noun;mahasti;inanim;area;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""ethor zitezen Filiperen Zesarea deitzen deneko <burguetara>.""";Mk 8,27;etorri;burguetara;burgo;noun;burgo;inanim;settlement;PL;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""prometa ziezoten diru <emaitera>""";Mk 14,11;prometatu;emaitera;eman;nmlz;eman;inanim;;SG;Complement;allative;–ra;;;;inanim;L;E;1571;Archaic
Lç;"""jauts baitzedin Spiritu saindua forma bisibletan uso-kolunba baten gisán, <haren gainera>""";Lk 3,22;jaitsi;gainera;gain;postp;hura;inanim;orientation;SG;Goal;allative;–ra;;GEN_gain;spirit;real;L;E;1571;Archaic
Lç;"""Orduan thu egin ziezoten <begithartera>""";Mt 26,67;tu_egin;begithartera;begitarte;noun;begitarte;inanim;body-part;SG;Goal;allative;–ra;;;substance;real;L;E;1571;Archaic
Lç;"""igan zedin Jesus <Jerusalemera>""";Jn 5,Archaic;igan;jerusalemera;jerusalem;toponym;jerusalem;inanim;settlement;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
Lç;"""Gero igan zedin <mendi batetara>""";Mk 3,13;igan;batetara;bat;det;mendi;inanim;area;SG;Goal;allative;–ra;;;human;real;L;E;1571;Archaic
